lambda,kappa,obj,return,risk,AAPL,AGG,AMZN,BAC,BND,BNDX,CORN,CSCO,DBA,DBC,DIA,DIS,EEM,EFA,EMB,GLD,GOOGL,HD,HYG,IEF,IWM,JNJ,JPM,KO,LQD,MA,META,MSFT,MUB,PALL,PFE,PG,QQQ,SLV,SPY,TLT,TSLA,UNG,USO,V,VNQ,WEAT,WMT,XOM
1.0,0.1,0.021475868725262852,0.028253114134269966,0.11642375538529168,0.19445643251276065,-1.3087312457249802e-08,1.5694996956442523e-08,8.12569220121753e-09,-1.2978714918728277e-08,-1.5308558568016827e-08,3.7880925405135845e-09,7.611452839963435e-09,9.873689173019243e-09,7.047021729080269e-09,4.7638392888768185e-09,1.5295775430951231e-09,-4.366361832982197e-10,9.918001337950693e-10,-3.905798745086836e-09,7.058933309468233e-09,0.006429447583798098,1.3298226385356146e-08,-5.749655420009099e-09,-1.0244937104505855e-08,3.8113216473463295e-09,2.4755295648214193e-10,3.926507301162363e-08,2.4562401096059937e-09,-5.794166461301412e-09,9.163459702147758e-09,0.21959778000160068,7.502704463497694e-08,-1.3886404011384398e-08,-3.57885418315639e-10,1.9256609261761413e-09,6.44328364822678e-09,1.9610267264649512e-08,1.182668430329504e-08,8.601406534744586e-09,-3.5902813215832318e-09,0.41583823120109625,2.3086107875046636e-09,1.0056289794516595e-08,7.577368497898533e-09,9.699100190018702e-10,1.460424283849112e-09,0.051464121277459744,0.11221379186388974
2.0,0.1,0.017203421882567516,0.023143909885133068,0.0770745613193196,0.14866983555748034,-2.0053183223816774e-09,2.1282370925479782e-10,-6.161651395020419e-11,-1.9926888769283625e-09,-2.267180922155421e-09,-3.0456302126857964e-10,-1.2320612416822286e-10,3.95793714091996e-10,-1.3700417007973223e-10,-3.857085355978861e-10,-2.5811305204643635e-10,-5.791128699502106e-10,-5.28277195609196e-10,-9.222486855813801e-10,-3.720583217966479e-11,0.09041591762046955,1.6648539337930502e-10,-1.2414314125728837e-09,-1.6474494104129379e-09,-2.984110715899105e-10,-5.690218954980382e-10,6.855081122721239e-09,-4.306599383769687e-10,-1.1477924445920174e-09,-6.924596776057546e-11,0.13977902285873478,0.013011708263202028,-2.1308472650526377e-09,-3.4867980920651057e-10,-3.15046814872405e-10,-2.3675592811712985e-10,3.716270919678579e-10,2.1956063624981916e-10,-2.2718670294583863e-10,-7.853580090597248e-10,0.20975079932885235,-1.0045776273056618e-10,2.783268987950635e-10,-1.6397953765064295e-10,-4.4269047380473647e-10,-3.40767263298051e-10,0.2627227092080436,0.13565002419258934
3.0,0.1,0.01473635577999151,0.02104845619556052,0.06486961494962548,0.11764586982835022,-2.4702638426817587e-09,3.6593355940308812e-09,1.759392792306825e-09,-2.4597703791828296e-09,-2.9516910605482904e-09,3.662392601157366e-09,2.3292781349245588e-09,0.0041261905241760915,5.391330375344814e-09,1.5175484957501999e-09,2.1702717676531226e-10,6.703352351830742e-11,3.831402867293259e-10,-6.96829764348758e-10,2.116462741710571e-08,0.10368004883430174,4.529814297132482e-09,-8.11148419332752e-10,-1.8700359993764893e-09,9.084883771927442e-10,4.4519348650657275e-10,0.0026522660433131763,1.090807772937979e-09,-1.020692982544739e-09,2.3134842573053997e-09,0.10614689610165841,0.06657512621977864,-2.4651173777800054e-09,2.552008978779603e-12,6.755671427193273e-10,3.823049500643895e-09,6.208208487875948e-09,4.8492564794189415e-09,2.6479593690777647e-09,-6.539268749644681e-10,0.14041758402384086,4.605390905087515e-10,5.149390241199554e-09,2.1833557760126966e-09,1.9998188362663677e-10,1.1413139337280652e-09,0.31949359952230316,0.13926235772334736
4.0,0.1,0.012967354284989949,0.018946810566046524,0.054678406528796075,0.09460872461742281,-1.455311400335178e-08,2.4433766443673254e-08,1.09371592035183e-08,-1.4539277373294996e-08,-1.76735369080997e-08,3.4626970519396335e-08,1.709373734834161e-08,0.12561588280339547,4.43314033294837e-08,1.0789116643169534e-08,1.2227677362891668e-09,9.041904328002101e-10,2.840474062513238e-09,-3.9722799949545695e-09,0.024242505704518528,0.09020153677751615,3.424025478474873e-08,-3.789133311274381e-09,-1.0710377903509991e-08,6.162715069103812e-09,4.1917592490710635e-09,0.005102838700860982,8.198182816183377e-09,-5.73041193527569e-09,1.494156557467931e-08,0.08014908792487331,0.07013159613345692,-1.3820207621657654e-08,3.674593751685566e-10,5.275661686082918e-09,3.121977984712344e-08,4.320057149826917e-08,3.1078673945059403e-08,1.8191989235701163e-08,-3.664701876170178e-09,0.10530285666750833,3.0751726099544878e-09,3.555572424944129e-08,1.478918609664549e-08,1.4039249925588784e-09,9.597376914132643e-09,0.28853947614412473,0.11610517380160212
5.0,0.1,0.011658327433535103,0.01744992362583212,0.04813147075374704,0.0771559607222052,-6.094614224467189e-09,8.938736101283935e-09,4.152267739443769e-09,-6.125301300397892e-09,-7.387282319586205e-09,2.252907633727823e-08,7.427866360334836e-09,0.17674980752600458,2.7737532887164958e-08,4.305473257911607e-09,7.412760418609816e-11,-6.980705886880902e-11,7.202376226741669e-10,-1.99615844949256e-09,0.08168750484698761,0.07719884495676278,1.860707237259195e-08,-1.67755727833608e-09,-4.351360378112643e-09,2.1376424418714277e-09,1.4883814653320832e-09,0.005934100087432708,3.1476009153195624e-09,-2.6442861052563905e-09,5.910218333657518e-09,0.06324560023390635,0.06724814608985098,-5.44438732439052e-09,-1.0895299683751151e-10,1.862842195105622e-09,1.5104947165961996e-08,2.0369408532303274e-08,1.1515988684211897e-08,7.4129335210637145e-09,-1.672035957136071e-09,0.08544733154973115,9.349662407213728e-10,2.4150478690045818e-08,6.0123074920669085e-09,1.2874776205502044e-10,4.010386915998986e-09,0.2626594918968159,0.10267305047079554
6.0,0.1,0.010603720839441111,0.016403746212173855,0.04396978270256648,0.06479857464841325,-2.5045306130933902e-09,5.838994861989106e-09,2.5577081922211986e-09,-2.5414290677701636e-09,-3.2188369110676537e-09,1.860415541861915e-08,4.942069283020965e-09,0.21145359298416416,1.5453367711254023e-08,3.0110622571290905e-09,2.779870533916454e-10,4.5077180904264404e-10,8.737757360882744e-10,-6.208672201923119e-10,0.12066889223212655,0.06822689663282323,1.0191624651121602e-08,-4.156329227108999e-11,-1.6337915177508127e-09,1.6686238896379924e-09,1.653177575346331e-09,0.005667763196499755,2.379804562575478e-09,-8.374048129432613e-10,3.6080325437393268e-09,0.05170824916449687,0.06500378813206227,-1.8131450852656873e-09,2.9635120479775336e-10,1.719001720884741e-09,9.933882352759017e-09,1.1090735537551892e-08,5.340453012458866e-09,4.704998763668705e-09,-5.253808042302846e-10,0.07244618945517094,8.933566310965186e-10,1.0628202665382107e-08,3.855382408415415e-09,4.3367881009723164e-10,3.4755885728355628e-09,0.2459994680018621,0.0940264751323031
7.0,0.1,0.009702217248452522,0.015614302805753393,0.041099480557373995,0.05541970639777992,-6.089754306471269e-09,1.3353646053151931e-08,5.755576194853885e-09,-6.243685316283811e-09,-7.9222847750673e-09,6.916952651614866e-08,1.225983930612445e-08,0.23694650048640747,4.1213324103792754e-08,7.0327721381169774e-09,3.4991975457360376e-10,7.547582131929706e-10,1.7090484477052723e-09,-1.8844911865683503e-09,0.1492959054999072,0.06153333353376649,2.591459388358785e-08,6.095524035079924e-12,-3.828768918103745e-09,3.777081895251439e-09,4.126317459390062e-09,0.004953645563048184,5.493828454543137e-09,-2.2683866499217438e-09,8.091579286106789e-09,0.04312148325702494,0.0633617300418351,-3.5322065778347454e-09,6.003378669252418e-10,4.238602477428938e-09,2.5559264946909754e-08,2.6429458169460014e-08,1.0581244689219885e-08,1.0911267722912493e-08,-1.4763719920509028e-09,0.0631908009518911,2.1283501714865024e-09,2.6840996040525723e-08,8.946683622771034e-09,6.543088699090688e-10,9.38756855803452e-09,0.2342637529919686,0.08791284886160218
8.0,0.1,0.008901986192941042,0.014987472083553048,0.03900476217916222,0.04796925487102065,-1.8865957098913793e-11,3.8244060091197683e-11,1.6909717697173115e-11,-1.9882137902355083e-11,-2.5571050690027033e-11,2.141794344468445e-09,4.334132370775637e-11,0.2566985097220188,2.553670401263143e-10,2.1924883164398436e-11,-1.072528283827389e-12,-9.156501204966359e-14,2.9094537158950893e-12,-8.462012672462971e-12,0.17146761593085874,0.056268194453204516,1.167664071471957e-10,-2.0946731644786942e-13,-1.0077119056847123e-11,1.0229464235846317e-11,1.2241769790653827e-11,0.004116826650812813,1.6393901163202238e-11,-8.850387521807876e-12,2.4268831695621922e-11,0.036343735151940136,0.06223209469576457,-4.3391043380176414e-12,6.040238821502577e-13,1.1894857394892612e-11,9.842219158860458e-11,9.692717077423797e-11,2.8344973954098172e-11,3.442622993068312e-11,-4.845313455475389e-12,0.05619882138402998,5.547104200115144e-12,1.79601820450981e-10,2.806141557188729e-11,-4.801193302202989e-13,3.5831771153620864e-11,0.22543060149059801,0.08327434259594348
9.0,0.1,0.008173254804431018,0.014466391826267624,0.03739618822475718,0.0418691072608473,-1.4588999218997335e-08,2.3129696288602156e-08,1.1560373019130726e-08,-1.5417745816618046e-08,-1.9585281427464686e-08,0.00134854701872289,3.5196201534774285e-08,0.2715583605285215,3.010890449776334e-07,1.5638262655777194e-08,-1.1765710194786537e-09,-5.096073897342195e-10,1.3428629584460074e-09,-6.664642258514679e-09,0.18911709775530836,0.05192216113265287,1.3148350535546454e-07,-2.673726742020869e-10,-7.743002838417217e-09,6.9926279924770776e-09,8.241761215013007e-09,0.003402031580984743,1.1223226514694323e-08,-7.121177236054133e-09,1.6584249966207963e-08,0.03087961213248831,0.06153187363052423,4.176758955078737e-10,5.111867412309938e-10,7.9559435736492e-09,8.829126677940563e-08,8.87026000652678e-08,1.6227159895505236e-08,2.451693041425428e-08,-4.0353065076155975e-09,0.05062920914870768,3.704404733206801e-09,1.894357867500251e-07,1.988648344714597e-08,-1.0252126141082964e-09,2.7819259134246635e-08,0.21829788681490278,0.07944316025472496
10.0,0.1,0.007500593265892624,0.013984652665013735,0.036011274343241764,0.036756692829809846,-2.548222020720754e-09,1.2288242940796192e-08,6.081272650987349e-09,-3.327005254698032e-09,-4.766248858430705e-09,0.013127012288000247,1.868309691458566e-08,0.27547166048981186,1.4406467204491253e-07,8.926855954211485e-09,-3.9183880351841506e-10,2.683642618263316e-10,1.1805624797149153e-09,-2.3074352251882876e-09,0.20232629925341186,0.04784824658940098,7.152719507873093e-08,3.0595843374858774e-09,-3.1728149103189244e-10,4.0917410744637025e-09,5.149365563623748e-09,0.0038569516596975778,5.857054294768673e-09,-1.894415403921675e-09,8.371546503134013e-09,0.02714948701745217,0.06117850601069758,1.4612128653337572e-08,4.268839744370631e-10,4.635882117437504e-09,4.153332378311807e-08,4.2924212218259336e-08,6.473713778221937e-09,1.3456062664013385e-08,-1.2829106135943912e-09,0.04567818233677472,1.701819309368962e-09,9.50417802697459e-08,1.045864989241377e-08,-1.5850631213643413e-10,1.4329963378910893e-08,0.2113529696259592,0.07525347333076567
