lambda,kappa,Asset,Weight
1.0,0.1,AAPL,0.19445643251276065
1.0,0.1,AGG,-1.3087312457249802e-08
1.0,0.1,AMZN,1.5694996956442523e-08
1.0,0.1,BAC,8.12569220121753e-09
1.0,0.1,BND,-1.2978714918728277e-08
1.0,0.1,BNDX,-1.5308558568016827e-08
1.0,0.1,CORN,3.7880925405135845e-09
1.0,0.1,CSCO,7.611452839963435e-09
1.0,0.1,DBA,9.873689173019243e-09
1.0,0.1,DBC,7.047021729080269e-09
1.0,0.1,DIA,4.7638392888768185e-09
1.0,0.1,DIS,1.5295775430951231e-09
1.0,0.1,EEM,-4.366361832982197e-10
1.0,0.1,EFA,9.918001337950693e-10
1.0,0.1,EMB,-3.905798745086836e-09
1.0,0.1,GLD,7.058933309468233e-09
1.0,0.1,GOOGL,0.006429447583798098
1.0,0.1,HD,1.3298226385356146e-08
1.0,0.1,HYG,-5.749655420009099e-09
1.0,0.1,IEF,-1.0244937104505855e-08
1.0,0.1,IWM,3.8113216473463295e-09
1.0,0.1,JNJ,2.4755295648214193e-10
1.0,0.1,JPM,3.926507301162363e-08
1.0,0.1,KO,2.4562401096059937e-09
1.0,0.1,LQD,-5.794166461301412e-09
1.0,0.1,MA,9.163459702147758e-09
1.0,0.1,META,0.21959778000160068
1.0,0.1,MSFT,7.502704463497694e-08
1.0,0.1,MUB,-1.3886404011384398e-08
1.0,0.1,PALL,-3.57885418315639e-10
1.0,0.1,PFE,1.9256609261761413e-09
1.0,0.1,PG,6.44328364822678e-09
1.0,0.1,QQQ,1.9610267264649512e-08
1.0,0.1,SLV,1.182668430329504e-08
1.0,0.1,SPY,8.601406534744586e-09
1.0,0.1,TLT,-3.5902813215832318e-09
1.0,0.1,TSLA,0.41583823120109625
1.0,0.1,UNG,2.3086107875046636e-09
1.0,0.1,USO,1.0056289794516595e-08
1.0,0.1,V,7.577368497898533e-09
1.0,0.1,VNQ,9.699100190018702e-10
1.0,0.1,WEAT,1.460424283849112e-09
1.0,0.1,WMT,0.051464121277459744
1.0,0.1,XOM,0.11221379186388974
1.0,0.4,AAPL,0.09902899739078509
1.0,0.4,AGG,-7.256725964583919e-09
1.0,0.4,AMZN,0.03781885727546283
1.0,0.4,BAC,0.003694178044330457
1.0,0.4,BND,-7.189595741926625e-09
1.0,0.4,BNDX,-8.471667060603923e-09
1.0,0.4,CORN,1.1527208788576747e-08
1.0,0.4,CSCO,8.318513720621841e-07
1.0,0.4,DBA,0.08878601814222531
1.0,0.4,DBC,0.004765282874400323
1.0,0.4,DIA,1.4740777206875217e-06
1.0,0.4,DIS,1.1693652364833694e-09
1.0,0.4,EEM,6.692967783204682e-10
1.0,0.4,EFA,3.210851562390475e-09
1.0,0.4,EMB,-2.063248668144468e-09
1.0,0.4,GLD,0.02559836945089966
1.0,0.4,GOOGL,0.08181425835844601
1.0,0.4,HD,0.035011012109901596
1.0,0.4,HYG,-2.11433968005252e-09
1.0,0.4,IEF,-5.849715072958169e-09
1.0,0.4,IWM,1.7196787107920607e-08
1.0,0.4,JNJ,1.3406701927644822e-09
1.0,0.4,JPM,0.04864413023803668
1.0,0.4,KO,4.4598623337474146e-09
1.0,0.4,LQD,-3.1542461111508545e-09
1.0,0.4,MA,0.015843023134564302
1.0,0.4,META,0.05444031953420688
1.0,0.4,MSFT,0.10431222655236438
1.0,0.4,MUB,-7.4166691556349586e-09
1.0,0.4,PALL,-7.235629064818087e-10
1.0,0.4,PFE,1.5278540048637284e-09
1.0,0.4,PG,8.626458293127203e-08
1.0,0.4,QQQ,0.08462173934398488
1.0,0.4,SLV,0.01164287284606707
1.0,0.4,SPY,0.04846997684116647
1.0,0.4,TLT,-2.3764994951720632e-09
1.0,0.4,TSLA,0.05181733601833886
1.0,0.4,UNG,1.2058728034555263e-09
1.0,0.4,USO,5.269581356524929e-08
1.0,0.4,V,0.008175240392197178
1.0,0.4,VNQ,1.838065808750914e-09
1.0,0.4,WEAT,9.148061434949951e-10
1.0,0.4,WMT,0.14492580839415325
1.0,0.4,XOM,0.05058790953132277
1.0,0.7,AAPL,0.05521587946068983
1.0,0.7,AGG,-2.1638609796787957e-09
1.0,0.7,AMZN,0.02837081775192487
1.0,0.7,BAC,0.013690929233418402
1.0,0.7,BND,-2.141980227231545e-09
1.0,0.7,BNDX,-2.5621668621246466e-09
1.0,0.7,CORN,0.019311987572260263
1.0,0.7,CSCO,0.019136613782721947
1.0,0.7,DBA,0.11000367216847681
1.0,0.7,DBC,0.036174417760415856
1.0,0.7,DIA,0.0374455411646735
1.0,0.7,DIS,8.136155990209519e-10
1.0,0.7,EEM,3.1614701527084994e-09
1.0,0.7,EFA,0.005146674961792424
1.0,0.7,EMB,-4.1439692387689515e-10
1.0,0.7,GLD,0.0692391101692446
1.0,0.7,GOOGL,0.05034314256148401
1.0,0.7,HD,0.03274245362003055
1.0,0.7,HYG,5.2031608207501105e-09
1.0,0.7,IEF,-1.8727012385875776e-09
1.0,0.7,IWM,0.014985478580011697
1.0,0.7,JNJ,1.5189382121283426e-08
1.0,0.7,JPM,0.03476355626304151
1.0,0.7,KO,0.0067593573294004025
1.0,0.7,LQD,-7.74196666895904e-10
1.0,0.7,MA,0.02338839871702469
1.0,0.7,META,0.029549515567869878
